arm,tick,phase,err_ema,C,energy,approach,syncopes
full,0,0,0.10203,-0.30000,0.82808,0.00126,0.00000
full,10,0,0.12690,-0.30000,0.87246,0.01214,0.00000
full,20,0,0.13494,-0.30000,0.83312,0.02103,0.00000
full,30,0,0.13448,-0.30000,0.79962,0.02661,0.00000
full,40,0,0.13114,-0.22393,0.77494,0.02925,0.00000
full,50,0,0.12750,-0.22393,0.74610,0.02883,0.00000
full,60,0,0.12369,-0.22393,0.72208,0.02680,0.00000
full,70,0,0.11956,-0.22393,0.69892,0.02433,0.00000
full,80,0,0.11608,-0.16602,0.67973,0.02109,0.00000
full,90,0,0.11301,-0.16602,0.66501,0.01910,0.00000
full,100,0,0.11018,-0.16602,0.68180,0.02260,0.00000
full,110,0,0.10760,-0.16602,0.77236,0.02660,0.20000
full,120,0,0.10483,-0.13354,0.77236,0.02852,0.20000
full,130,0,0.10279,-0.13354,0.77078,0.02639,0.20000
full,140,0,0.10104,-0.13354,0.76876,0.02139,0.20000
full,150,0,0.09973,-0.13354,0.75928,0.01545,0.20000
full,160,0,0.09750,-0.11103,0.74509,0.01003,0.20000
full,170,0,0.09523,-0.11103,0.72830,0.00504,0.20000
full,180,0,0.09346,-0.11103,0.71074,0.00069,0.20000
full,190,0,0.09174,-0.11103,0.69667,-0.00360,0.20000
full,200,0,0.08969,-0.09487,0.71712,-0.00665,0.20000
full,210,0,0.08719,-0.09487,0.74462,-0.00838,0.20000
full,220,0,0.08446,-0.09487,0.74588,-0.01089,0.20000
full,230,0,0.08153,-0.09487,0.71943,-0.01423,0.20000
full,240,0,0.07866,-0.07548,0.69572,-0.01792,0.20000
full,250,0,0.07623,-0.07548,0.65929,-0.02177,0.20000
full,260,0,0.07377,-0.07548,0.62418,-0.02508,0.20000
full,270,0,0.07170,-0.07548,0.69445,-0.02751,0.40000
full,280,0,0.06987,-0.06727,0.67210,-0.02974,0.40000
full,290,0,0.06803,-0.06727,0.68608,-0.03090,0.40000
full,300,0,0.06633,-0.06727,0.68954,-0.03244,0.40000
full,310,0,0.06469,-0.06727,0.68612,-0.03414,0.40000
full,320,0,0.06354,-0.06124,0.67808,-0.03544,0.40000
full,330,0,0.06239,-0.06124,0.67138,-0.03636,0.40000
full,340,0,0.06100,-0.06124,0.67462,-0.03706,0.40000
full,350,0,0.05970,-0.06124,0.65112,-0.03853,0.40000
full,360,0,0.05874,-0.05719,0.62842,-0.03992,0.40000
full,370,0,0.05776,-0.05719,0.60481,-0.04067,0.40000
full,380,0,0.05662,-0.05719,0.57379,-0.04169,0.40000
full,390,0,0.05535,-0.05719,0.53198,-0.04276,0.40000
full,400,0,0.05427,-0.04959,0.49675,-0.04355,0.40000
full,410,0,0.05365,-0.04959,0.46701,-0.04409,0.40000
full,420,0,0.05283,-0.04959,0.45264,-0.04427,0.40000
full,430,0,0.05196,-0.04959,0.42582,-0.04457,0.40000
full,440,0,0.05138,-0.04904,0.48744,-0.04532,0.60000
full,450,0,0.05139,-0.04904,0.46833,-0.04579,0.60000
full,460,0,0.05131,-0.04904,0.44231,-0.04637,0.60000
full,470,0,0.05188,-0.04904,0.52703,-0.04655,0.80000
full,480,0,0.05188,-0.05021,0.52019,-0.04667,0.80000
full,490,0,0.05203,-0.05021,0.51225,-0.04685,0.80000
full,500,0,0.05216,-0.05021,0.50194,-0.04703,0.80000
full,510,0,0.05187,-0.05021,0.49480,-0.04718,0.80000
full,520,0,0.05169,-0.05384,0.48244,-0.04741,0.80000
full,530,0,0.05178,-0.05384,0.47287,-0.04757,0.80000
full,540,0,0.05230,-0.05384,0.46382,-0.04767,0.80000
full,550,0,0.05236,-0.05384,0.53418,-0.04768,1.00000
full,560,0,0.05170,-0.04942,0.52026,-0.04765,1.00000
full,570,0,0.05131,-0.04942,0.49671,-0.04766,1.00000
full,580,0,0.05037,-0.04942,0.47099,-0.04768,1.00000
full,590,0,0.04932,-0.04942,0.45982,-0.04729,1.00000
full,600,0,0.04864,-0.04726,0.43958,-0.04724,1.00000
full,610,0,0.04803,-0.04726,0.44391,-0.04642,1.00000
full,620,0,0.04764,-0.04726,0.59432,-0.04405,1.20000
full,630,0,0.04871,-0.04726,0.66056,-0.03860,1.20000
full,640,0,0.04984,-0.04798,0.66056,-0.03474,1.20000
full,650,0,0.05148,-0.04798,0.65643,-0.02777,1.20000
full,660,0,0.05292,-0.04798,0.64590,-0.02203,1.20000
full,670,0,0.05341,-0.04798,0.65465,-0.01775,1.20000
full,680,0,0.05305,-0.05154,0.64125,-0.01269,1.20000
full,690,0,0.05256,-0.05154,0.66195,-0.00769,1.20000
full,700,0,0.05201,-0.05154,0.70622,-0.00419,1.20000
full,710,0,0.05274,-0.05154,0.76966,-0.00066,1.20000
full,720,0,0.05403,-0.05195,0.75203,0.00297,1.20000
full,730,0,0.05513,-0.05195,0.73673,0.00765,1.20000
full,740,0,0.05531,-0.05195,0.72499,0.01599,1.20000
full,750,0,0.05474,-0.05195,0.71008,0.02319,1.20000
full,760,0,0.05457,-0.04997,0.70113,0.02845,1.20000
full,770,0,0.05407,-0.04997,0.69217,0.03463,1.20000
full,780,0,0.05347,-0.04997,0.68066,0.03904,1.20000
full,790,0,0.05354,-0.04997,0.76966,0.04353,1.40000
full,800,0,0.05380,-0.05020,0.76966,0.04231,1.40000
full,810,0,0.05444,-0.05020,0.76966,0.03905,1.40000
full,820,0,0.05466,-0.05020,0.76966,0.03940,1.40000
full,830,0,0.05538,-0.05020,0.76966,0.03890,1.40000
full,840,0,0.05511,-0.05254,0.76966,0.03577,1.40000
full,850,0,0.05545,-0.05254,0.76877,0.03133,1.40000
full,860,0,0.05555,-0.05254,0.76877,0.03117,1.40000
full,870,0,0.05680,-0.05254,0.76877,0.03050,1.40000
full,880,0,0.05869,-0.05848,0.76877,0.02575,1.40000
full,890,0,0.05964,-0.05848,0.75637,0.02146,1.40000
full,900,0,0.06068,-0.05848,0.73939,0.01747,1.40000
full,910,0,0.06079,-0.05848,0.72313,0.01350,1.40000
full,920,0,0.06037,-0.06486,0.71036,0.01002,1.40000
full,930,0,0.05984,-0.06486,0.69728,0.00714,1.40000
full,940,0,0.05905,-0.06486,0.68710,0.00459,1.40000
full,950,0,0.05851,-0.06486,0.76877,0.00225,1.60000
full,960,0,0.05799,-0.07285,0.76877,0.00036,1.60000
full,970,0,0.05674,-0.07285,0.76877,-0.00126,1.60000
full,980,0,0.05560,-0.07285,0.76877,-0.00266,1.60000
full,990,0,0.05506,-0.07285,0.76877,-0.00384,1.60000
full,1000,0,0.05455,-0.08104,0.76877,-0.00487,1.60000
full,1010,0,0.05375,-0.08104,0.76877,-0.00579,1.60000
full,1020,0,0.05274,-0.08104,0.76877,-0.00654,1.60000
full,1030,0,0.05199,-0.08104,0.76877,-0.00715,1.60000
full,1040,0,0.05089,-0.08760,0.76877,-0.00762,1.60000
full,1050,0,0.05031,-0.08760,0.76787,-0.00797,1.60000
full,1060,0,0.05002,-0.08760,0.74960,-0.00861,1.60000
full,1070,0,0.04969,-0.08760,0.73389,-0.00917,1.60000
full,1080,0,0.04921,-0.08923,0.72398,-0.00995,1.60000
full,1090,0,0.04866,-0.08923,0.71448,-0.01057,1.60000
full,1100,0,0.04834,-0.08923,0.70354,-0.01110,1.60000
full,1110,0,0.04784,-0.08923,0.69284,-0.01172,1.60000
full,1120,0,0.04770,-0.09233,0.68166,-0.01264,1.60000
full,1130,0,0.04731,-0.09233,0.76787,-0.01297,1.80000
full,1140,0,0.04666,-0.09233,0.76787,-0.01279,1.80000
full,1150,0,0.04605,-0.09233,0.76787,-0.01260,1.80000
full,1160,0,0.04554,-0.09269,0.76787,-0.01251,1.80000
full,1170,0,0.04514,-0.09269,0.76787,-0.01235,1.80000
full,1180,0,0.04481,-0.09269,0.76787,-0.01216,1.80000
full,1190,0,0.04449,-0.09269,0.76787,-0.01192,1.80000
full,1200,0,0.04408,-0.09357,0.76787,-0.01166,1.80000
full,1210,0,0.04394,-0.09357,0.76787,-0.01143,1.80000
full,1220,0,0.04374,-0.09357,0.76787,-0.01114,1.80000
full,1230,0,0.04473,-0.09357,0.76787,-0.01148,1.80000
full,1240,0,0.04534,-0.09594,0.76787,-0.01215,1.80000
full,1250,0,0.04565,-0.09594,0.76697,-0.01268,1.80000
full,1260,0,0.04610,-0.09594,0.76697,-0.01309,1.80000
full,1270,0,0.04600,-0.09594,0.76697,-0.01339,1.80000
full,1280,0,0.04639,-0.09888,0.76697,-0.01381,1.80000
full,1290,0,0.04672,-0.09888,0.76697,-0.01416,1.80000
full,1300,0,0.04698,-0.09888,0.76697,-0.01441,1.80000
full,1310,0,0.04661,-0.09888,0.76697,-0.01457,1.80000
full,1320,0,0.04627,-0.09836,0.76697,-0.01466,1.80000
full,1330,0,0.04596,-0.09836,0.76697,-0.01468,1.80000
full,1340,0,0.04597,-0.09836,0.76697,-0.01464,1.80000
full,1350,0,0.04621,-0.09836,0.76697,-0.01457,1.80000
full,1360,0,0.04616,-0.10206,0.76697,-0.01458,1.80000
full,1370,0,0.04596,-0.10206,0.76697,-0.01453,1.80000
full,1380,0,0.04573,-0.10206,0.76697,-0.01442,1.80000
full,1390,0,0.04509,-0.10206,0.76697,-0.01426,1.80000
full,1400,0,0.04463,-0.10357,0.76697,-0.01408,1.80000
full,1410,0,0.04433,-0.10357,0.76697,-0.01391,1.80000
full,1420,0,0.04391,-0.10357,0.76697,-0.01368,1.80000
full,1430,0,0.04336,-0.10357,0.76607,-0.01339,1.80000
full,1440,0,0.04317,-0.10282,0.76607,-0.01306,1.80000
full,1450,0,0.04266,-0.10282,0.76518,-0.01269,1.80000
full,1460,0,0.04212,-0.10282,0.76518,-0.01228,1.80000
full,1470,0,0.04214,-0.10282,0.76518,-0.01183,1.80000
full,1480,0,0.04207,-0.10261,0.76518,-0.01158,1.80000
full,1490,0,0.04196,-0.10261,0.76518,-0.01132,1.80000
full,1500,0,0.04176,-0.10261,0.76518,-0.01103,1.80000
full,1510,0,0.04174,-0.10261,0.76518,-0.01070,1.80000
full,1520,0,0.04123,-0.10255,0.76518,-0.01034,1.80000
full,1530,0,0.04101,-0.10255,0.76518,-0.00995,1.80000
full,1540,0,0.04080,-0.10255,0.76518,-0.00954,1.80000
full,1550,0,0.04039,-0.10255,0.76518,-0.00914,1.80000
full,1560,0,0.03988,-0.09962,0.76518,-0.00885,1.80000
full,1570,0,0.03966,-0.09962,0.76518,-0.00853,1.80000
full,1580,0,0.03971,-0.09962,0.76518,-0.00817,1.80000
full,1590,0,0.03953,-0.09962,0.76518,-0.00779,1.80000
full,1600,0,0.03955,-0.09342,0.76518,-0.00741,1.80000
full,1610,0,0.03999,-0.09342,0.76518,-0.00706,1.80000
full,1620,0,0.04037,-0.09342,0.76518,-0.00667,1.80000
full,1630,0,0.04014,-0.09342,0.76428,-0.00623,1.80000
full,1640,0,0.04013,-0.09125,0.76428,-0.00577,1.80000
full,1650,0,0.04026,-0.09125,0.76338,-0.00527,1.80000
full,1660,0,0.04033,-0.09125,0.76338,-0.00475,1.80000
full,1670,0,0.03999,-0.09125,0.76338,-0.00420,1.80000
full,1680,0,0.03983,-0.09110,0.76338,-0.00387,1.80000
full,1690,0,0.03937,-0.09110,0.76338,-0.00353,1.80000
full,1700,0,0.03940,-0.09110,0.76338,-0.00316,1.80000
full,1710,0,0.03972,-0.09110,0.76338,-0.00276,1.80000
full,1720,0,0.03957,-0.08950,0.76338,-0.00234,1.80000
full,1730,0,0.03955,-0.08950,0.76338,-0.00190,1.80000
full,1740,0,0.03937,-0.08950,0.76338,-0.00144,1.80000
full,1750,0,0.03925,-0.08950,0.76338,-0.00100,1.80000
full,1760,0,0.03927,-0.09096,0.76338,-0.00067,1.80000
full,1770,0,0.03942,-0.09096,0.76338,-0.00031,1.80000
full,1780,0,0.03955,-0.09096,0.76338,0.00008,1.80000
full,1790,0,0.03924,-0.09096,0.76338,0.00049,1.80000
full,1800,0,0.03932,-0.08725,0.76338,0.00090,1.80000
full,1810,0,0.03914,-0.08725,0.76338,0.00128,1.80000
full,1820,0,0.03937,-0.08725,0.76338,0.00169,1.80000
full,1830,0,0.03925,-0.08725,0.76248,0.00214,1.80000
full,1840,0,0.03951,-0.08458,0.76248,0.00263,1.80000
full,1850,0,0.03925,-0.08458,0.76159,0.00314,1.80000
full,1860,0,0.03917,-0.08458,0.76159,0.00368,1.80000
full,1870,0,0.03907,-0.08458,0.76159,0.00424,1.80000
full,1880,0,0.03922,-0.08515,0.76159,0.00458,1.80000
full,1890,0,0.03960,-0.08515,0.76159,0.00493,1.80000
full,1900,0,0.03956,-0.08515,0.76159,0.00531,1.80000
full,1910,0,0.03945,-0.08515,0.76159,0.00572,1.80000
full,1920,0,0.03909,-0.08566,0.76159,0.00615,1.80000
full,1930,0,0.03926,-0.08566,0.76159,0.00660,1.80000
full,1940,0,0.03951,-0.08566,0.76159,0.00706,1.80000
full,1950,0,0.03971,-0.08566,0.76159,0.00751,1.80000
full,1960,0,0.03945,-0.08528,0.76159,0.00785,1.80000
full,1970,0,0.03958,-0.08528,0.76159,0.00821,1.80000
full,1980,0,0.03946,-0.08528,0.76159,0.00860,1.80000
full,1990,0,0.03961,-0.08528,0.76159,0.00902,1.80000
full,2000,0,0.03970,-0.08377,0.76159,0.00943,1.80000
full,2010,0,0.03954,-0.08377,0.76159,0.00981,1.80000
full,2020,0,0.03944,-0.08377,0.76159,0.01023,1.80000
full,2030,0,0.03890,-0.08377,0.76069,0.01068,1.80000
full,2040,0,0.03905,-0.08402,0.76069,0.01117,1.80000
full,2050,0,0.03935,-0.08402,0.75979,0.01168,1.80000
full,2060,0,0.03943,-0.08402,0.75979,0.01222,1.80000
full,2070,0,0.03934,-0.08402,0.75979,0.01278,1.80000
full,2080,0,0.03912,-0.08081,0.75979,0.01313,1.80000
full,2090,0,0.03902,-0.08081,0.75979,0.01349,1.80000
full,2100,0,0.03875,-0.08081,0.75979,0.01387,1.80000
full,2110,0,0.03886,-0.08081,0.75979,0.01427,1.80000
full,2120,0,0.03926,-0.07902,0.75979,0.01470,1.80000
full,2130,0,0.03912,-0.07902,0.75979,0.01515,1.80000
full,2140,0,0.03933,-0.07902,0.75979,0.01562,1.80000
full,2150,0,0.03989,-0.07902,0.75979,0.01607,1.80000
full,2160,0,0.03968,-0.07783,0.75979,0.01641,1.80000
full,2170,0,0.03952,-0.07783,0.75979,0.01677,1.80000
full,2180,0,0.03936,-0.07783,0.75979,0.01716,1.80000
full,2190,0,0.03940,-0.07783,0.75979,0.01758,1.80000
full,2200,1,0.03956,-0.07606,0.75979,0.01794,1.80000
full,2210,1,0.03956,-0.07606,0.75979,0.01794,1.80000
full,2220,1,0.03956,-0.07333,0.75979,0.01794,1.80000
full,2230,1,0.03956,-0.07333,0.75979,0.01794,1.80000
full,2240,1,0.03956,-0.07047,0.75979,0.01794,1.80000
full,2250,1,0.03956,-0.06919,0.75979,0.01794,1.80000
full,2260,1,0.03956,-0.06919,0.75979,0.01794,1.80000
full,2270,1,0.03956,-0.06923,0.75979,0.01794,1.80000
full,2280,1,0.03956,-0.06923,0.75979,0.01794,1.80000
full,2290,1,0.03956,-0.07083,0.75979,0.01794,1.80000
full,2300,1,0.03956,-0.07294,0.75979,0.01794,1.80000
full,2310,1,0.03956,-0.07294,0.75979,0.01794,1.80000
full,2320,1,0.03956,-0.07574,0.75979,0.01794,1.80000
full,2330,1,0.03956,-0.07574,0.75979,0.01794,1.80000
full,2340,1,0.03956,-0.07670,0.75979,0.01794,1.80000
full,2350,1,0.03956,-0.07846,0.75979,0.01794,1.80000
full,2360,1,0.03956,-0.07846,0.75979,0.01794,1.80000
full,2370,1,0.03956,-0.07880,0.75979,0.01794,1.80000
full,2380,1,0.03956,-0.07880,0.75979,0.01794,1.80000
full,2390,1,0.03956,-0.07898,0.75979,0.01794,1.80000
full,2400,1,0.03956,-0.07980,0.75979,0.01794,1.80000
full,2410,1,0.03956,-0.07980,0.75979,0.01794,1.80000
full,2420,1,0.03956,-0.08199,0.75979,0.01794,1.80000
full,2430,1,0.03956,-0.08199,0.75979,0.01794,1.80000
full,2440,1,0.03956,-0.08026,0.75979,0.01794,1.80000
full,2450,1,0.03956,-0.08213,0.75979,0.01794,1.80000
full,2460,1,0.03956,-0.08213,0.75979,0.01794,1.80000
full,2470,1,0.03956,-0.08440,0.75979,0.01794,1.80000
full,2480,1,0.03956,-0.08440,0.75979,0.01794,1.80000
full,2490,1,0.03956,-0.08333,0.75979,0.01794,1.80000
full,2500,1,0.03956,-0.08534,0.75979,0.01794,1.80000
full,2510,1,0.03956,-0.08534,0.75979,0.01794,1.80000
full,2520,1,0.03956,-0.08597,0.75979,0.01794,1.80000
full,2530,1,0.03956,-0.08597,0.75979,0.01794,1.80000
full,2540,1,0.03956,-0.08466,0.75979,0.01794,1.80000
full,2550,1,0.03956,-0.08607,0.75979,0.01794,1.80000
full,2560,1,0.03956,-0.08607,0.75979,0.01794,1.80000
full,2570,1,0.03956,-0.08332,0.75979,0.01794,1.80000
full,2580,1,0.03956,-0.08332,0.75979,0.01794,1.80000
full,2590,1,0.03956,-0.08163,0.75979,0.01794,1.80000
full,2600,1,0.03956,-0.08206,0.75979,0.01794,1.80000
full,2610,1,0.03956,-0.08206,0.75979,0.01794,1.80000
full,2620,1,0.03956,-0.08101,0.75979,0.01794,1.80000
full,2630,1,0.03956,-0.08101,0.75979,0.01794,1.80000
full,2640,1,0.03956,-0.08065,0.75979,0.01794,1.80000
full,2650,1,0.03956,-0.08237,0.75979,0.01794,1.80000
full,2660,1,0.03956,-0.08237,0.75979,0.01794,1.80000
full,2670,1,0.03956,-0.07879,0.75979,0.01794,1.80000
full,2680,1,0.03956,-0.07879,0.75979,0.01794,1.80000
full,2690,1,0.03956,-0.07212,0.75979,0.01794,1.80000
full,2700,1,0.03956,-0.06508,0.75979,0.01794,1.80000
full,2710,1,0.03956,-0.06508,0.75979,0.01794,1.80000
full,2720,1,0.03956,-0.06113,0.75979,0.01794,1.80000
full,2730,1,0.03956,-0.06113,0.75979,0.01794,1.80000
full,2740,1,0.03956,-0.05990,0.75979,0.01794,1.80000
full,2750,1,0.03956,-0.06026,0.75979,0.01794,1.80000
full,2760,1,0.03956,-0.06026,0.75979,0.01794,1.80000
full,2770,1,0.03956,-0.06046,0.75979,0.01794,1.80000
full,2780,1,0.03956,-0.06046,0.75979,0.01794,1.80000
full,2790,1,0.03956,-0.06060,0.75979,0.01794,1.80000
full,2800,1,0.03956,-0.05961,0.75979,0.01794,1.80000
full,2810,1,0.03956,-0.05961,0.75979,0.01794,1.80000
full,2820,1,0.03956,-0.05884,0.75979,0.01794,1.80000
full,2830,1,0.03956,-0.05884,0.75979,0.01794,1.80000
full,2840,1,0.03956,-0.05790,0.75979,0.01794,1.80000
full,2850,1,0.03956,-0.05854,0.75979,0.01794,1.80000
full,2860,1,0.03956,-0.05854,0.75979,0.01794,1.80000
full,2870,1,0.03956,-0.05834,0.75979,0.01794,1.80000
full,2880,1,0.03956,-0.05834,0.75979,0.01794,1.80000
full,2890,1,0.03956,-0.05579,0.75979,0.01794,1.80000
full,2900,1,0.03956,-0.05585,0.75979,0.01794,1.80000
full,2910,1,0.03956,-0.05585,0.75979,0.01794,1.80000
full,2920,1,0.03956,-0.05653,0.75979,0.01794,1.80000
full,2930,1,0.03956,-0.05653,0.75979,0.01794,1.80000
full,2940,1,0.03956,-0.05393,0.75979,0.01794,1.80000
full,2950,1,0.03956,-0.05415,0.75979,0.01794,1.80000
full,2960,1,0.03956,-0.05415,0.75979,0.01794,1.80000
full,2970,1,0.03956,-0.05312,0.75979,0.01794,1.80000
full,2980,1,0.03956,-0.05312,0.75979,0.01794,1.80000
full,2990,1,0.03956,-0.05525,0.75979,0.01794,1.80000
full,3000,1,0.03956,-0.05637,0.75979,0.01794,1.80000
full,3010,1,0.03956,-0.05637,0.75979,0.01794,1.80000
full,3020,1,0.03956,-0.05680,0.75979,0.01794,1.80000
full,3030,1,0.03956,-0.05680,0.75979,0.01794,1.80000
full,3040,1,0.03956,-0.05798,0.75979,0.01794,1.80000
full,3050,1,0.03956,-0.05740,0.75979,0.01794,1.80000
full,3060,1,0.03956,-0.05740,0.75979,0.01794,1.80000
full,3070,1,0.03956,-0.05553,0.75979,0.01794,1.80000
full,3080,1,0.03956,-0.05553,0.75979,0.01794,1.80000
full,3090,1,0.03956,-0.05228,0.75979,0.01794,1.80000
full,3100,1,0.03956,-0.05050,0.75979,0.01794,1.80000
full,3110,1,0.03956,-0.05050,0.75979,0.01794,1.80000
full,3120,1,0.03956,-0.04889,0.75979,0.01794,1.80000
full,3130,1,0.03956,-0.04889,0.75979,0.01794,1.80000
full,3140,1,0.03956,-0.04936,0.75979,0.01794,1.80000
full,3150,1,0.03956,-0.04905,0.75979,0.01794,1.80000
full,3160,1,0.03956,-0.04905,0.75979,0.01794,1.80000
full,3170,1,0.03956,-0.04806,0.75979,0.01794,1.80000
full,3180,1,0.03956,-0.04806,0.75979,0.01794,1.80000
full,3190,1,0.03956,-0.04679,0.75979,0.01794,1.80000
full,3200,1,0.03956,-0.04700,0.75979,0.01794,1.80000
full,3210,1,0.03956,-0.04700,0.75979,0.01794,1.80000
full,3220,1,0.03956,-0.04582,0.75979,0.01794,1.80000
full,3230,1,0.03956,-0.04582,0.75979,0.01794,1.80000
full,3240,1,0.03956,-0.04755,0.75979,0.01794,1.80000
full,3250,1,0.03956,-0.04780,0.75979,0.01794,1.80000
full,3260,1,0.03956,-0.04780,0.75979,0.01794,1.80000
full,3270,1,0.03956,-0.04751,0.75979,0.01794,1.80000
full,3280,1,0.03956,-0.04751,0.75979,0.01794,1.80000
full,3290,1,0.03956,-0.04626,0.75979,0.01794,1.80000
full,3300,1,0.03956,-0.04692,0.75979,0.01794,1.80000
full,3310,1,0.03956,-0.04692,0.75979,0.01794,1.80000
full,3320,1,0.03956,-0.04581,0.75979,0.01794,1.80000
full,3330,1,0.03956,-0.04581,0.75979,0.01794,1.80000
full,3340,1,0.03956,-0.04524,0.75979,0.01794,1.80000
full,3350,1,0.03956,-0.04486,0.75979,0.01794,1.80000
full,3360,1,0.03956,-0.04486,0.75979,0.01794,1.80000
full,3370,1,0.03956,-0.04445,0.75979,0.01794,1.80000
full,3380,1,0.03956,-0.04445,0.75979,0.01794,1.80000
full,3390,1,0.03956,-0.04359,0.75979,0.01794,1.80000
full,3400,2,0.03993,-0.04214,0.75979,0.01797,1.80000
full,3410,2,0.04163,-0.04214,0.75979,0.01830,1.80000
full,3420,2,0.04305,-0.04214,0.75979,0.01864,1.80000
full,3430,2,0.04519,-0.04214,0.75889,0.01899,1.80000
full,3440,2,0.04648,-0.04188,0.75889,0.01934,1.80000
full,3450,2,0.04683,-0.04188,0.75800,0.01969,1.80000
full,3460,2,0.04748,-0.04188,0.75800,0.02005,1.80000
full,3470,2,0.04749,-0.04188,0.75800,0.02041,1.80000
full,3480,2,0.04755,-0.04253,0.75800,0.02056,1.80000
full,3490,2,0.04787,-0.04253,0.75800,0.02073,1.80000
full,3500,2,0.04752,-0.04253,0.75800,0.02095,1.80000
full,3510,2,0.04730,-0.04253,0.75800,0.02121,1.80000
full,3520,2,0.04728,-0.04256,0.75800,0.02150,1.80000
full,3530,2,0.04689,-0.04256,0.75800,0.02183,1.80000
full,3540,2,0.04621,-0.04256,0.75800,0.02219,1.80000
full,3550,2,0.04573,-0.04256,0.75800,0.02251,1.80000
full,3560,2,0.04511,-0.04456,0.75800,0.02269,1.80000
full,3570,2,0.04476,-0.04456,0.75800,0.02288,1.80000
full,3580,2,0.04420,-0.04456,0.75800,0.02308,1.80000
full,3590,2,0.04401,-0.04456,0.75800,0.02329,1.80000
full,3600,2,0.04383,-0.04460,0.75800,0.02347,1.80000
full,3610,2,0.04388,-0.04460,0.75800,0.02361,1.80000
full,3620,2,0.04364,-0.04460,0.75800,0.02377,1.80000
full,3630,2,0.04339,-0.04460,0.75710,0.02396,1.80000
full,3640,2,0.04307,-0.04489,0.75710,0.02417,1.80000
full,3650,2,0.04259,-0.04489,0.75620,0.02439,1.80000
full,3660,2,0.04212,-0.04489,0.75620,0.02464,1.80000
full,3670,2,0.04186,-0.04489,0.75620,0.02489,1.80000
full,3680,2,0.04130,-0.04469,0.75620,0.02494,1.80000
full,3690,2,0.04139,-0.04469,0.75620,0.02503,1.80000
full,3700,2,0.04123,-0.04469,0.75620,0.02517,1.80000
full,3710,2,0.04140,-0.04469,0.75620,0.02536,1.80000
full,3720,2,0.04131,-0.04505,0.75620,0.02559,1.80000
full,3730,2,0.04174,-0.04505,0.75620,0.02586,1.80000
full,3740,2,0.04213,-0.04505,0.75620,0.02616,1.80000
full,3750,2,0.04205,-0.04505,0.75620,0.02644,1.80000
full,3760,2,0.04195,-0.04453,0.75620,0.02658,1.80000
full,3770,2,0.04229,-0.04453,0.75620,0.02673,1.80000
full,3780,2,0.04228,-0.04453,0.75620,0.02690,1.80000
full,3790,2,0.04188,-0.04453,0.75620,0.02707,1.80000
full,3800,2,0.04163,-0.04373,0.75620,0.02722,1.80000
full,3810,2,0.04158,-0.04373,0.75620,0.02734,1.80000
full,3820,2,0.04173,-0.04373,0.75620,0.02748,1.80000
full,3830,2,0.04122,-0.04373,0.75530,0.02764,1.80000
full,3840,2,0.04106,-0.04364,0.75530,0.02783,1.80000
full,3850,2,0.04116,-0.04364,0.75441,0.02804,1.80000
full,3860,2,0.04126,-0.04364,0.75441,0.02827,1.80000
full,3870,2,0.04124,-0.04364,0.75441,0.02851,1.80000
full,3880,2,0.04093,-0.04288,0.75441,0.02855,1.80000
full,3890,2,0.04115,-0.04288,0.75441,0.02862,1.80000
full,3900,2,0.04081,-0.04288,0.75441,0.02875,1.80000
full,3910,2,0.04067,-0.04288,0.75441,0.02893,1.80000
full,3920,2,0.04080,-0.04201,0.75441,0.02915,1.80000
full,3930,2,0.04100,-0.04201,0.75441,0.02942,1.80000
full,3940,2,0.04089,-0.04201,0.75441,0.02971,1.80000
full,3950,2,0.04080,-0.04201,0.75441,0.02998,1.80000
full,3960,2,0.04068,-0.04292,0.75441,0.03012,1.80000
full,3970,2,0.04073,-0.04292,0.75441,0.03027,1.80000
full,3980,2,0.04037,-0.04292,0.75441,0.03043,1.80000
full,3990,2,0.04060,-0.04292,0.75441,0.03059,1.80000
full,4000,2,0.04019,-0.04308,0.75441,0.03074,1.80000
full,4010,2,0.04022,-0.04308,0.75441,0.03085,1.80000
full,4020,2,0.04037,-0.04308,0.75441,0.03099,1.80000
full,4030,2,0.04038,-0.04308,0.75351,0.03116,1.80000
full,4040,2,0.04025,-0.04264,0.75351,0.03134,1.80000
full,4050,2,0.04018,-0.04264,0.75261,0.03155,1.80000
full,4060,2,0.04022,-0.04264,0.75261,0.03177,1.80000
full,4070,2,0.04075,-0.04264,0.75261,0.03201,1.80000
full,4080,2,0.04120,-0.04212,0.75261,0.03205,1.80000
full,4090,2,0.04144,-0.04212,0.75261,0.03212,1.80000
full,4100,2,0.04099,-0.04212,0.75261,0.03225,1.80000
full,4110,2,0.04116,-0.04212,0.75261,0.03243,1.80000
full,4120,2,0.04135,-0.04273,0.75261,0.03265,1.80000
full,4130,2,0.04131,-0.04273,0.75261,0.03291,1.80000
full,4140,2,0.04160,-0.04273,0.75261,0.03321,1.80000
full,4150,2,0.04159,-0.04273,0.75261,0.03348,1.80000
full,4160,2,0.04170,-0.04326,0.75261,0.03361,1.80000
full,4170,2,0.04207,-0.04326,0.75261,0.03376,1.80000
full,4180,2,0.04193,-0.04326,0.75261,0.03392,1.80000
full,4190,2,0.04194,-0.04326,0.75261,0.03409,1.80000
full,4200,2,0.04197,-0.04416,0.75261,0.03424,1.80000
full,4210,2,0.04189,-0.04416,0.75261,0.03434,1.80000
