tick,maxcos_all,maxcos_old,maxcos_old_rot,n_old
299,1.00000,nan,nan,0
300,1.00000,nan,nan,1
301,1.00000,nan,nan,2
302,1.00000,nan,nan,3
303,1.00000,nan,nan,4
304,1.00000,nan,nan,5
305,1.00000,nan,nan,6
306,1.00000,nan,nan,7
307,1.00000,nan,nan,8
308,1.00000,nan,nan,9
309,1.00000,nan,nan,10
310,1.00000,nan,nan,11
311,1.00000,nan,nan,12
312,1.00000,nan,nan,13
313,1.00000,nan,nan,14
314,1.00000,nan,nan,15
315,1.00000,nan,nan,16
316,1.00000,nan,nan,17
317,1.00000,nan,nan,18
318,1.00000,nan,nan,19
319,1.00000,nan,nan,20
320,1.00000,nan,nan,21
321,1.00000,nan,nan,22
322,1.00000,nan,nan,23
323,1.00000,nan,nan,24
324,1.00000,nan,nan,25
325,1.00000,nan,nan,26
326,1.00000,nan,nan,27
327,1.00000,nan,nan,28
328,1.00000,nan,nan,29
329,1.00000,nan,nan,30
330,1.00000,nan,nan,31
331,1.00000,nan,nan,32
332,1.00000,nan,nan,33
333,1.00000,nan,nan,34
334,1.00000,nan,nan,35
335,1.00000,nan,nan,36
336,1.00000,nan,nan,37
337,1.00000,nan,nan,38
338,1.00000,nan,nan,39
339,1.00000,nan,nan,40
340,1.00000,nan,nan,41
341,1.00000,nan,nan,42
342,1.00000,nan,nan,43
343,1.00000,nan,nan,44
344,1.00000,nan,nan,45
345,1.00000,nan,nan,46
346,1.00000,nan,nan,47
347,1.00000,nan,nan,48
348,1.00000,nan,nan,49
349,1.00000,nan,nan,50
350,1.00000,nan,nan,51
351,1.00000,nan,nan,52
352,1.00000,nan,nan,53
353,1.00000,nan,nan,54
354,1.00000,nan,nan,55
355,1.00000,nan,nan,56
356,1.00000,nan,nan,57
357,1.00000,nan,nan,58
358,1.00000,nan,nan,59
359,1.00000,nan,nan,60
360,1.00000,nan,nan,61
361,1.00000,nan,nan,62
362,1.00000,nan,nan,63
363,1.00000,nan,nan,64
364,1.00000,nan,nan,65
365,1.00000,nan,nan,66
366,1.00000,nan,nan,67
367,1.00000,nan,nan,68
368,1.00000,nan,nan,69
369,1.00000,nan,nan,70
370,1.00000,nan,nan,71
371,1.00000,nan,nan,72
372,1.00000,nan,nan,73
373,1.00000,nan,nan,74
374,1.00000,nan,nan,75
375,1.00000,nan,nan,76
376,1.00000,nan,nan,77
377,1.00000,nan,nan,78
378,1.00000,nan,nan,79
379,1.00000,nan,nan,80
380,1.00000,nan,nan,81
381,1.00000,nan,nan,82
382,1.00000,nan,nan,83
383,1.00000,nan,nan,84
384,1.00000,nan,nan,85
385,1.00000,nan,nan,86
386,1.00000,nan,nan,87
387,1.00000,nan,nan,88
388,1.00000,nan,nan,89
389,1.00000,nan,nan,90
390,1.00000,nan,nan,91
391,1.00000,nan,nan,92
392,1.00000,nan,nan,93
393,1.00000,nan,nan,94
394,1.00000,nan,nan,95
395,1.00000,nan,nan,96
396,1.00000,nan,nan,97
397,1.00000,nan,nan,98
398,1.00000,nan,nan,99
399,1.00000,nan,nan,100
400,1.00000,nan,nan,101
401,1.00000,nan,nan,102
402,1.00000,nan,nan,103
403,1.00000,nan,nan,104
404,1.00000,nan,nan,105
405,1.00000,nan,nan,106
406,1.00000,nan,nan,107
407,1.00000,nan,nan,108
408,1.00000,nan,nan,109
409,1.00000,nan,nan,110
410,1.00000,nan,nan,111
411,1.00000,nan,nan,112
412,1.00000,nan,nan,113
413,1.00000,nan,nan,114
414,1.00000,nan,nan,115
415,1.00000,nan,nan,116
416,1.00000,nan,nan,117
417,1.00000,nan,nan,118
418,1.00000,nan,nan,119
419,1.00000,nan,nan,120
420,1.00000,nan,nan,121
421,1.00000,nan,nan,122
422,1.00000,nan,nan,123
423,1.00000,nan,nan,124
424,1.00000,nan,nan,125
425,1.00000,nan,nan,126
426,1.00000,nan,nan,127
427,1.00000,nan,nan,128
428,1.00000,nan,nan,129
429,1.00000,nan,nan,130
430,1.00000,nan,nan,131
431,1.00000,nan,nan,132
432,1.00000,nan,nan,133
433,1.00000,nan,nan,134
434,1.00000,nan,nan,135
435,1.00000,nan,nan,136
436,1.00000,nan,nan,137
437,1.00000,nan,nan,138
438,1.00000,nan,nan,139
439,1.00000,nan,nan,140
440,1.00000,nan,nan,141
441,1.00000,nan,nan,142
442,1.00000,nan,nan,143
443,1.00000,nan,nan,144
444,1.00000,nan,nan,145
445,1.00000,nan,nan,146
446,1.00000,nan,nan,147
447,1.00000,nan,nan,148
448,1.00000,nan,nan,149
449,1.00000,nan,nan,150
450,1.00000,nan,nan,151
451,1.00000,nan,nan,152
452,1.00000,nan,nan,153
453,1.00000,nan,nan,154
454,1.00000,nan,nan,155
455,1.00000,nan,nan,156
456,1.00000,nan,nan,157
457,1.00000,nan,nan,158
458,1.00000,nan,nan,159
459,1.00000,nan,nan,160
460,1.00000,nan,nan,161
461,1.00000,nan,nan,162
462,1.00000,nan,nan,163
463,1.00000,nan,nan,164
464,1.00000,nan,nan,165
465,1.00000,nan,nan,166
466,1.00000,nan,nan,167
467,1.00000,nan,nan,168
468,1.00000,nan,nan,169
469,1.00000,nan,nan,170
470,1.00000,nan,nan,171
471,1.00000,nan,nan,172
472,1.00000,nan,nan,173
473,1.00000,nan,nan,174
474,1.00000,nan,nan,175
475,1.00000,nan,nan,176
476,1.00000,nan,nan,177
477,1.00000,nan,nan,178
478,1.00000,nan,nan,179
479,1.00000,nan,nan,180
480,1.00000,nan,nan,181
481,1.00000,nan,nan,182
482,1.00000,nan,nan,183
483,1.00000,nan,nan,184
484,1.00000,nan,nan,185
485,1.00000,nan,nan,186
486,1.00000,nan,nan,187
487,1.00000,nan,nan,188
488,1.00000,nan,nan,189
489,1.00000,nan,nan,190
490,1.00000,nan,nan,191
491,1.00000,nan,nan,192
492,1.00000,nan,nan,193
493,1.00000,nan,nan,194
494,1.00000,nan,nan,195
495,1.00000,nan,nan,196
496,1.00000,nan,nan,197
497,1.00000,nan,nan,198
498,1.00000,nan,nan,199
499,1.00000,nan,nan,200
500,1.00000,nan,nan,201
501,1.00000,nan,nan,202
502,1.00000,nan,nan,203
503,1.00000,nan,nan,204
504,1.00000,nan,nan,205
