variant,metric,mean,std,seed0,seed1,seed2
baseline-a,syn_W1,2.6666666666666665,3.091206165165235,0.0,1.0,7.0
baseline-a,syn_W2,0.0,0.0,0.0,0.0,0.0
baseline-a,syn_W3,0.0,0.0,0.0,0.0,0.0
baseline-a,syn_W4,0.0,0.0,0.0,0.0,0.0
baseline-a,appr_W1,0.006410883591728027,0.035016224641854374,0.02748907638641085,0.03467882680881547,-0.04293525242004224
baseline-a,appr_W2,0.03778792115584373,0.12005036424933689,0.19658524394333846,0.010405532612434798,-0.09362701308824206
baseline-a,appr_W4,0.2796703530952624,0.27995103939243426,0.6622211850205619,7.7201482844447e-05,0.17671267278238093
baseline-a,recovery_W3,38.333333333333336,15.584892970081281,60.0,31.0,24.0
baseline-a,rel_gain1,-0.0408654359433111,0.06460906864503368,-0.03125746158536261,-0.12436035492716846,0.033021508682597754
minus-recall,syn_W1,7.666666666666667,5.792715732327589,0.0,9.0,14.0
minus-recall,syn_W2,7.666666666666667,5.557777333511022,0.0,10.0,13.0
minus-recall,syn_W3,7.0,4.96655480858378,0.0,10.0,11.0
minus-recall,syn_W4,8.0,5.656854249492381,0.0,12.0,12.0
minus-recall,appr_W1,0.013427435437787445,0.01122202059460032,0.02748907638641085,0.012768687602142744,2.454232480873657e-05
minus-recall,appr_W2,0.06976298185106218,0.08976170792626333,0.19658524394333846,0.011130102902522004,0.001573598707326081
minus-recall,appr_W4,0.22188005744028852,0.3113682552729173,0.6622211850205619,0.0014768812023487547,0.0019421060979548303
minus-recall,recovery_W3,329.3333333333333,306.42164124327485,60.0,170.0,758.0
minus-recall,rel_gain1,0.09402703885120862,0.15478953990275185,-0.03185166954611157,0.0018676645762760375,0.31206512152346144
minus-value,syn_W1,10.333333333333334,3.2998316455372216,6.0,11.0,14.0
minus-value,syn_W2,11.333333333333334,1.8856180831641267,10.0,10.0,14.0
minus-value,syn_W3,0.0,0.0,0.0,0.0,0.0
minus-value,syn_W4,0.0,0.0,0.0,0.0,0.0
minus-value,appr_W1,0.010780352352904497,0.008236019199155778,0.0200188232623356,0.012304081151299192,1.815264507870029e-05
minus-value,appr_W2,0.0010277509080692745,0.00555477591322915,0.008272546404134475,-0.005224857256342812,3.556357641616114e-05
minus-value,appr_W4,0.04609969197431411,0.10892512309197387,-0.001460383493911873,-0.05700822510602713,0.19676768452288132
minus-value,recovery_W3,1361.6666666666667,967.0616434448334,2153.0,0.0,1932.0
minus-value,rel_gain1,0.2907386478436652,0.13295815379790876,0.4646591315430496,0.14188692835486938,0.26566988363307664
minus-bridge,syn_W1,2.6666666666666665,3.091206165165235,0.0,1.0,7.0
minus-bridge,syn_W2,0.0,0.0,0.0,0.0,0.0
minus-bridge,syn_W3,0.0,0.0,0.0,0.0,0.0
minus-bridge,syn_W4,0.0,0.0,0.0,0.0,0.0
minus-bridge,appr_W1,0.006978032326221857,0.034217044091511085,0.02748907638641085,0.03467882680881547,-0.041233806216560746
minus-bridge,appr_W2,0.03909962857200499,0.11862029852181737,0.19658524394333846,0.010405532612434798,-0.08969189083975829
minus-bridge,appr_W4,0.2790743376699331,0.2801714183440629,0.6622211850205619,7.7201482844447e-05,0.17492462650639307
minus-bridge,recovery_W3,39.0,14.98888477061141,60.0,31.0,26.0
minus-bridge,rel_gain1,-0.06943821439028179,0.04189233866531977,-0.03125746158536261,-0.1277602698890025,-0.04929691169648026
