tick,maxcos_all,maxcos_old,maxcos_old_rot,n_old
825,1.00000,nan,nan,296
826,1.00000,nan,nan,296
827,1.00000,nan,nan,296
828,1.00000,nan,nan,296
829,1.00000,nan,nan,296
830,1.00000,nan,nan,296
831,1.00000,nan,nan,296
832,1.00000,nan,nan,296
833,1.00000,nan,nan,296
834,1.00000,nan,nan,266
935,1.00000,nan,nan,296
936,1.00000,nan,nan,297
937,1.00000,nan,nan,298
938,1.00000,nan,nan,299
939,1.00000,0.99815,0.08543,300
940,1.00000,0.99717,0.07778,301
941,1.00000,0.99663,0.07791,302
942,1.00000,0.99774,0.08546,303
943,1.00000,0.99790,0.11168,304
944,1.00000,0.99855,0.11197,305
945,1.00000,0.99833,0.11403,306
946,1.00000,0.99794,0.14109,306
947,1.00000,0.99709,0.13578,307
948,1.00000,0.99713,0.10687,308
949,1.00000,0.99772,0.08053,309
950,1.00000,0.99806,0.10864,310
951,1.00000,0.99817,0.10502,311
952,1.00000,0.99814,0.10507,312
953,1.00000,0.99722,0.12416,313
954,1.00000,0.99767,0.15295,314
955,1.00000,0.99824,0.13673,315
956,1.00000,0.99574,0.08008,315
957,1.00000,0.99642,0.07809,316
958,1.00000,0.99499,0.10197,317
959,1.00000,0.99529,0.10861,318
960,1.00000,0.99531,0.09065,319
961,1.00000,0.99821,0.07478,320
962,1.00000,0.99714,0.07520,321
963,1.00000,0.99765,0.12156,322
964,1.00000,0.99820,0.13748,322
965,1.00000,0.99735,0.12047,322
966,1.00000,0.99497,0.13882,323
967,1.00000,0.99626,0.16022,324
968,1.00000,0.99569,0.09618,325
969,1.00000,0.99641,0.07877,325
970,1.00000,0.99674,0.12527,325
971,1.00000,0.99625,0.12627,325
972,1.00000,0.99787,0.11296,325
973,1.00000,0.99844,0.10872,325
974,1.00000,0.99611,0.10287,325
975,1.00000,0.99792,0.07959,325
976,1.00000,0.99697,0.07913,325
977,1.00000,0.99788,0.11382,325
978,1.00000,0.99760,0.09650,325
979,1.00000,0.99743,0.09705,325
980,1.00000,0.99695,0.11989,325
981,1.00000,0.99794,0.10596,325
982,1.00000,0.99774,0.09078,325
983,1.00000,0.99836,0.12377,325
984,1.00000,0.99724,0.12316,325
985,1.00000,0.99713,0.10135,325
986,1.00000,0.99737,0.12281,325
987,1.00000,0.99795,0.13063,325
988,1.00000,0.99826,0.11070,325
989,1.00000,0.99737,0.11347,325
990,1.00000,0.99773,0.12966,325
991,1.00000,0.99775,0.11247,325
992,1.00000,0.99746,0.08129,325
993,1.00000,0.99628,0.10088,325
994,1.00000,0.99691,0.11427,325
995,1.00000,0.99685,0.11408,325
996,1.00000,0.99668,0.11798,325
997,1.00000,0.99680,0.13066,325
998,1.00000,0.99744,0.14433,325
999,1.00000,0.99817,0.13614,325
1000,1.00000,0.99720,0.09569,325
1001,1.00000,0.99801,0.08907,325
1002,1.00000,0.99799,0.13634,325
1003,1.00000,0.99790,0.12431,325
1004,1.00000,0.99847,0.08701,325
1005,1.00000,0.99719,0.10464,325
1006,1.00000,0.99797,0.12733,325
1007,1.00000,0.99779,0.11698,325
1008,1.00000,0.99704,0.07933,325
1009,1.00000,0.99462,0.06163,325
1010,1.00000,0.99500,0.08120,325
1011,1.00000,0.99424,0.08464,325
1012,1.00000,0.99433,0.12430,325
1013,1.00000,0.99664,0.14896,325
1014,1.00000,0.99618,0.11656,325
1015,1.00000,0.99685,0.13538,325
1016,1.00000,0.99755,0.14877,325
1017,1.00000,0.99693,0.11285,325
1018,1.00000,0.99779,0.09269,325
1019,1.00000,0.99848,0.11602,325
1020,1.00000,0.99840,0.11444,325
1021,1.00000,0.99704,0.11213,325
1022,1.00000,0.99782,0.09423,325
1023,1.00000,0.99758,0.09775,325
1024,1.00000,0.99708,0.14101,325
1025,1.00000,0.99577,0.14329,325
1026,1.00000,0.99654,0.09059,325
1027,1.00000,0.99370,0.05820,325
1028,1.00000,0.99423,0.10182,325
1029,1.00000,0.99550,0.13932,325
1030,1.00000,0.99658,0.10607,325
1031,1.00000,0.99744,0.10758,325
1032,1.00000,0.99598,0.16782,325
1033,1.00000,0.99748,0.13397,325
1034,1.00000,0.99312,0.07565,325
1035,1.00000,0.99753,0.11206,325
1036,1.00000,0.99801,0.08875,325
1037,1.00000,0.99510,0.04055,325
1038,1.00000,0.99631,0.08605,325
1039,1.00000,0.99675,0.11875,301
1140,1.00000,0.99982,0.11121,351
1141,1.00000,0.99968,0.11101,351
1142,1.00000,0.99956,0.11325,351
1143,1.00000,0.99909,0.11339,351
1144,1.00000,0.99928,0.11055,351
1145,1.00000,0.99886,0.10632,351
1146,1.00000,0.99935,0.11619,351
1147,1.00000,0.99756,0.11163,351
1148,1.00000,0.99776,0.09493,351
1149,1.00000,0.99820,0.07975,351
1150,1.00000,0.99729,0.09726,351
1151,1.00000,0.99697,0.13344,351
1152,1.00000,0.99738,0.10940,351
1153,1.00000,0.99781,0.11542,351
1154,1.00000,0.99546,0.13024,351
1155,1.00000,0.99723,0.11208,351
1156,1.00000,0.99556,0.10326,351
1157,1.00000,0.99619,0.08747,351
1158,1.00000,0.99236,0.06317,351
1159,1.00000,0.99487,0.06703,351
1160,1.00000,0.99126,0.06334,351
1161,1.00000,0.99324,0.10517,351
1162,1.00000,0.99589,0.12376,351
1163,1.00000,0.99340,0.12863,351
1164,1.00000,0.99453,0.13944,351
1165,1.00000,0.99676,0.14443,351
1166,1.00000,0.99760,0.10043,351
1167,1.00000,0.99774,0.09305,351
1168,1.00000,0.99719,0.11289,351
1169,1.00000,0.99747,0.11213,351
1170,1.00000,0.99796,0.10690,351
1171,1.00000,0.99778,0.07079,351
1172,1.00000,0.99711,0.05919,351
1173,1.00000,0.99710,0.08442,351
1174,1.00000,0.99776,0.08572,351
1175,1.00000,0.99727,0.10237,351
1176,1.00000,0.99740,0.12089,351
1177,1.00000,0.99767,0.11770,351
1178,1.00000,0.99838,0.11045,351
1179,1.00000,0.99833,0.11094,351
1180,1.00000,0.99656,0.10750,351
1181,1.00000,0.99508,0.06538,351
1182,1.00000,0.99334,0.04942,351
1183,1.00000,0.99471,0.11218,351
1184,1.00000,0.99725,0.11135,351
1185,1.00000,0.99775,0.10763,351
1186,1.00000,0.99748,0.13371,351
1187,1.00000,0.99850,0.11527,351
1188,1.00000,0.99826,0.10582,351
1189,1.00000,0.99745,0.11948,351
1190,1.00000,0.99836,0.09929,351
1191,1.00000,0.99807,0.08522,351
1192,1.00000,0.99719,0.12688,351
1193,1.00000,0.99803,0.13388,351
1194,1.00000,0.99822,0.11824,351
1195,1.00000,0.99745,0.11142,351
1196,1.00000,0.99814,0.09724,351
1197,1.00000,0.99663,0.07389,351
1198,1.00000,0.99839,0.10727,351
1199,1.00000,0.99724,0.10873,351
1200,1.00000,0.99884,0.09295,351
1201,1.00000,0.99797,0.11898,351
1202,1.00000,0.99795,0.13479,351
1203,1.00000,0.99699,0.11177,351
1204,1.00000,0.99673,0.11221,351
1205,1.00000,0.99502,0.09957,351
1206,1.00000,0.99652,0.05370,351
1207,1.00000,0.99605,0.08846,351
1208,1.00000,0.99666,0.13710,351
1209,1.00000,0.99664,0.11692,351
1210,1.00000,0.99709,0.10987,351
1211,1.00000,0.99647,0.13706,351
1212,1.00000,0.99681,0.14229,351
1213,1.00000,0.99704,0.12962,351
1214,1.00000,0.99803,0.13006,351
1215,1.00000,0.99721,0.11511,351
1216,1.00000,0.99519,0.08214,351
1217,1.00000,0.99449,0.07032,351
1218,1.00000,0.99674,0.05841,351
1219,1.00000,0.99733,0.09245,351
1220,1.00000,0.99693,0.08228,351
1221,1.00000,0.99663,0.07305,351
1222,1.00000,0.99701,0.07820,351
1223,1.00000,0.99470,0.08729,351
1224,1.00000,0.99728,0.14551,351
1225,1.00000,0.99667,0.11919,351
1226,1.00000,0.99699,0.07221,351
1227,1.00000,0.99774,0.10486,351
1228,1.00000,0.99802,0.13975,351
1229,1.00000,0.99772,0.11199,315
1330,1.00000,0.99983,0.11059,389
1331,1.00000,0.99977,0.10989,390
1332,1.00000,0.99978,0.10894,391
1333,1.00000,0.99939,0.10900,392
1334,1.00000,0.99939,0.11885,392
1335,1.00000,0.99893,0.11237,393
1336,1.00000,0.99871,0.09262,394
1337,1.00000,0.99904,0.08987,395
1338,1.00000,0.99916,0.11183,396
1339,1.00000,0.99844,0.10363,397
1340,1.00000,0.99915,0.09925,397
1341,1.00000,0.99928,0.11008,397
1342,1.00000,0.99825,0.12505,397
1343,1.00000,0.99822,0.10578,397
1344,1.00000,0.99851,0.10438,397
1345,1.00000,0.99764,0.13068,397
1346,1.00000,0.99808,0.11442,397
1347,1.00000,0.99817,0.07296,397
1348,1.00000,0.99736,0.06377,397
1349,1.00000,0.99676,0.09694,397
1350,1.00000,0.99816,0.10895,397
1351,1.00000,0.99789,0.10357,397
1352,1.00000,0.99721,0.12277,397
1353,1.00000,0.99784,0.12334,397
1354,1.00000,0.99704,0.10923,397
1355,1.00000,0.99736,0.11705,397
1356,1.00000,0.99711,0.15016,397
1357,1.00000,0.99793,0.12071,397
1358,1.00000,0.99748,0.09163,397
1359,1.00000,0.99834,0.12496,397
1360,1.00000,0.99692,0.11613,397
1361,1.00000,0.99717,0.10412,397
1362,1.00000,0.99802,0.10955,397
1363,1.00000,0.99781,0.12091,397
1364,1.00000,0.99731,0.13870,397
1365,1.00000,0.99832,0.13146,397
1366,1.00000,0.99801,0.09385,397
1367,1.00000,0.99867,0.09265,397
1368,1.00000,0.99856,0.11320,397
1369,1.00000,0.99738,0.10528,397
1370,1.00000,0.99807,0.09046,397
1371,1.00000,0.99846,0.09958,397
1372,1.00000,0.99819,0.10509,397
1373,1.00000,0.99698,0.11055,397
1374,1.00000,0.99540,0.12667,397
1375,1.00000,0.99886,0.12070,397
1376,1.00000,0.99846,0.11114,397
1377,1.00000,0.99876,0.12187,397
1378,1.00000,0.99698,0.10239,397
1379,1.00000,0.99687,0.13047,397
1380,1.00000,0.99620,0.14227,397
1381,1.00000,0.99527,0.13459,397
1382,1.00000,0.99765,0.15426,397
1383,1.00000,0.99579,0.11303,397
1384,1.00000,0.99713,0.09453,397
1385,1.00000,0.99804,0.08770,397
1386,1.00000,0.99738,0.07574,397
1387,1.00000,0.99488,0.10521,397
1388,1.00000,0.99195,0.17196,397
