mode,rho,recovered,final_min_ab
both,0.05,True,0.420783
both,0.07433333333333333,True,0.420783
both,0.09866666666666667,True,0.420783
both,0.123,True,0.420783
both,0.14733333333333332,True,0.420783
both,0.17166666666666666,True,0.420783
both,0.196,True,0.420783
both,0.22033333333333333,True,0.420783
both,0.24466666666666664,True,0.420783
both,0.26899999999999996,True,0.420783
both,0.29333333333333333,True,0.420783
both,0.31766666666666665,True,0.420783
both,0.34199999999999997,True,0.420783
both,0.3663333333333333,True,0.420783
both,0.39066666666666666,True,0.420783
both,0.415,True,0.420783
both,0.4393333333333333,True,0.420783
both,0.4636666666666666,True,0.420783
both,0.48799999999999993,True,0.420783
both,0.5123333333333333,True,0.420783
both,0.5366666666666666,True,0.420783
both,0.561,True,0.420783
both,0.5853333333333334,True,0.420783
both,0.6096666666666667,True,0.420783
both,0.634,True,0.420783
both,0.6583333333333333,True,0.420783
both,0.6826666666666666,True,0.420783
both,0.707,True,0.420783
both,0.7313333333333334,True,0.420783
both,0.7556666666666667,True,0.420783
both,0.78,True,0.420783
both,0.8043333333333333,True,0.420783
both,0.8286666666666667,False,0.000000
both,0.853,False,0.000000
both,0.8773333333333333,False,0.000000
both,0.9016666666666666,False,0.000000
both,0.9259999999999999,False,0.000000
both,0.9503333333333334,False,0.000000
both,0.9746666666666667,False,0.000000
both,0.999,False,0.000000
b,0.05,True,0.420783
b,0.07433333333333333,True,0.420783
b,0.09866666666666667,True,0.420783
b,0.123,True,0.420783
b,0.14733333333333332,True,0.420783
b,0.17166666666666666,True,0.420783
b,0.196,True,0.420783
b,0.22033333333333333,True,0.420783
b,0.24466666666666664,True,0.420783
b,0.26899999999999996,True,0.420783
b,0.29333333333333333,True,0.420783
b,0.31766666666666665,True,0.420783
b,0.34199999999999997,True,0.420783
b,0.3663333333333333,True,0.420783
b,0.39066666666666666,True,0.420783
b,0.415,True,0.420783
b,0.4393333333333333,True,0.420783
b,0.4636666666666666,True,0.420783
b,0.48799999999999993,True,0.420783
b,0.5123333333333333,True,0.420783
b,0.5366666666666666,True,0.420783
b,0.561,True,0.420783
b,0.5853333333333334,True,0.420783
b,0.6096666666666667,True,0.420783
b,0.634,True,0.420783
b,0.6583333333333333,True,0.420783
b,0.6826666666666666,True,0.420783
b,0.707,True,0.420783
b,0.7313333333333334,True,0.420783
b,0.7556666666666667,True,0.420783
b,0.78,True,0.420783
b,0.8043333333333333,True,0.420783
b,0.8286666666666667,True,0.420783
b,0.853,True,0.420783
b,0.8773333333333333,True,0.420783
b,0.9016666666666666,True,0.420783
b,0.9259999999999999,True,0.420783
b,0.9503333333333334,True,0.420783
b,0.9746666666666667,True,0.420783
b,0.999,False,0.000000
