A,B,R,fate_recovered,t_rec,t_abs,min_ab
0.0000,0.0400,5.2083,0,inf,0.02,0.00000
0.0000,0.0400,5.3571,0,inf,0.02,0.00000
0.0000,0.0400,5.5060,0,inf,0.02,0.00000
0.0000,0.0400,5.6548,0,inf,0.02,0.00000
0.0000,0.0400,5.8036,0,inf,0.02,0.00000
0.0000,0.0400,5.9524,0,inf,0.02,0.00000
0.0000,0.0400,6.1012,0,inf,0.02,0.00000
0.0000,0.0400,6.2500,0,inf,0.02,0.00000
0.0000,0.0400,6.3988,0,inf,0.02,0.00000
0.0000,0.0400,6.5476,0,inf,0.02,0.00000
0.0000,0.0400,6.6964,0,inf,0.02,0.00000
0.0000,0.0400,6.8452,0,inf,0.02,0.00000
0.0000,0.0400,6.9940,0,inf,0.02,0.00000
0.0000,0.0400,7.1429,0,inf,0.02,0.00000
0.0000,0.0400,7.2917,0,inf,0.02,0.00000
0.0000,0.0600,0.0000,0,inf,0.02,0.00000
0.0000,0.0600,0.1488,0,inf,0.02,0.00000
0.0000,0.0600,0.2976,0,inf,0.02,0.00000
0.0000,0.0600,0.4464,0,inf,0.02,0.00000
0.0000,0.0600,0.5952,0,inf,0.02,0.00000
0.0000,0.0600,0.7440,0,inf,0.02,0.00000
0.0000,0.0600,0.8929,0,inf,0.02,0.00000
0.0000,0.0600,1.0417,0,inf,0.02,0.00000
0.0000,0.0600,1.1905,0,inf,0.02,0.00000
0.0000,0.0600,1.3393,0,inf,0.02,0.00000
0.0000,0.0600,1.4881,0,inf,0.02,0.00000
0.0000,0.0600,1.6369,0,inf,0.02,0.00000
0.0000,0.0600,1.7857,0,inf,0.02,0.00000
0.0000,0.0600,1.9345,0,inf,0.02,0.00000
0.0000,0.0600,2.0833,0,inf,0.02,0.00000
0.0000,0.0600,2.2321,0,inf,0.02,0.00000
0.0000,0.0600,2.3810,0,inf,0.02,0.00000
0.0000,0.0600,2.5298,0,inf,0.02,0.00000
0.0000,0.0600,2.6786,0,inf,0.02,0.00000
0.0000,0.0600,2.8274,0,inf,0.02,0.00000
0.0000,0.0600,2.9762,0,inf,0.02,0.00000
0.0000,0.0600,3.1250,0,inf,0.02,0.00000
0.0000,0.0600,3.2738,0,inf,0.02,0.00000
0.0000,0.0600,3.4226,0,inf,0.02,0.00000
0.0000,0.0600,3.5714,0,inf,0.02,0.00000
0.0000,0.0600,3.7202,0,inf,0.02,0.00000
0.0000,0.0600,3.8690,0,inf,0.02,0.00000
0.0000,0.0600,4.0179,0,inf,0.02,0.00000
0.0000,0.0600,4.1667,0,inf,0.02,0.00000
0.0000,0.0600,4.3155,0,inf,0.02,0.00000
0.0000,0.0600,4.4643,0,inf,0.02,0.00000
0.0000,0.0600,4.6131,0,inf,0.02,0.00000
0.0000,0.0600,4.7619,0,inf,0.02,0.00000
0.0000,0.0600,4.9107,0,inf,0.02,0.00000
0.0000,0.0600,5.0595,0,inf,0.02,0.00000
0.0000,0.0600,5.2083,0,inf,0.02,0.00000
0.0000,0.0600,5.3571,0,inf,0.02,0.00000
0.0000,0.0600,5.5060,0,inf,0.02,0.00000
0.0000,0.0600,5.6548,0,inf,0.02,0.00000
0.0000,0.0600,5.8036,0,inf,0.02,0.00000
0.0000,0.0600,5.9524,0,inf,0.02,0.00000
0.0000,0.0600,6.1012,0,inf,0.02,0.00000
0.0000,0.0600,6.2500,0,inf,0.02,0.00000
0.0000,0.0600,6.3988,0,inf,0.02,0.00000
0.0000,0.0600,6.5476,0,inf,0.02,0.00000
0.0000,0.0600,6.6964,0,inf,0.02,0.00000
0.0000,0.0600,6.8452,0,inf,0.02,0.00000
0.0000,0.0600,6.9940,0,inf,0.02,0.00000
0.0000,0.0600,7.1429,0,inf,0.02,0.00000
0.0000,0.0600,7.2917,0,inf,0.02,0.00000
0.0000,0.0800,0.0000,0,inf,0.02,0.00000
0.0000,0.0800,0.1488,0,inf,0.02,0.00000
0.0000,0.0800,0.2976,0,inf,0.02,0.00000
0.0000,0.0800,0.4464,0,inf,0.02,0.00000
0.0000,0.0800,0.5952,0,inf,0.02,0.00000
0.0000,0.0800,0.7440,0,inf,0.02,0.00000
