A,B,R,fate_recovered,t_rec,t_abs,min_ab
0.0000,0.0000,0.0000,0,inf,0.02,0.00000
0.0000,0.0000,0.1190,0,inf,0.02,0.00000
0.0000,0.0000,0.2381,0,inf,0.02,0.00000
0.0000,0.0000,0.3571,0,inf,0.02,0.00000
0.0000,0.0000,0.4762,0,inf,0.02,0.00000
0.0000,0.0000,0.5952,0,inf,0.02,0.00000
0.0000,0.0000,0.7143,0,inf,0.02,0.00000
0.0000,0.0000,0.8333,0,inf,0.02,0.00000
0.0000,0.0000,0.9524,0,inf,0.02,0.00000
0.0000,0.0000,1.0714,0,inf,0.02,0.00000
0.0000,0.0000,1.1905,0,inf,0.02,0.00000
0.0000,0.0000,1.3095,0,inf,0.02,0.00000
0.0000,0.0000,1.4286,0,inf,0.02,0.00000
0.0000,0.0000,1.5476,0,inf,0.02,0.00000
0.0000,0.0000,1.6667,0,inf,0.02,0.00000
0.0000,0.0000,1.7857,0,inf,0.02,0.00000
0.0000,0.0000,1.9048,0,inf,0.02,0.00000
0.0000,0.0000,2.0238,0,inf,0.02,0.00000
0.0000,0.0000,2.1429,0,inf,0.02,0.00000
0.0000,0.0000,2.2619,0,inf,0.02,0.00000
0.0000,0.0000,2.3810,0,inf,0.02,0.00000
0.0000,0.0000,2.5000,0,inf,0.02,0.00000
0.0000,0.0000,2.6190,0,inf,0.02,0.00000
0.0000,0.0000,2.7381,0,inf,0.02,0.00000
0.0000,0.0000,2.8571,0,inf,0.02,0.00000
0.0000,0.0000,2.9762,0,inf,0.02,0.00000
0.0000,0.0000,3.0952,0,inf,0.02,0.00000
0.0000,0.0000,3.2143,0,inf,0.02,0.00000
0.0000,0.0000,3.3333,0,inf,0.02,0.00000
0.0000,0.0000,3.4524,0,inf,0.02,0.00000
0.0000,0.0000,3.5714,0,inf,0.02,0.00000
0.0000,0.0000,3.6905,0,inf,0.02,0.00000
0.0000,0.0000,3.8095,0,inf,0.02,0.00000
0.0000,0.0000,3.9286,0,inf,0.02,0.00000
0.0000,0.0000,4.0476,0,inf,0.02,0.00000
0.0000,0.0000,4.1667,0,inf,0.02,0.00000
0.0000,0.0000,4.2857,0,inf,0.02,0.00000
0.0000,0.0000,4.4048,0,inf,0.02,0.00000
0.0000,0.0000,4.5238,0,inf,0.02,0.00000
0.0000,0.0000,4.6429,0,inf,0.02,0.00000
0.0000,0.0000,4.7619,0,inf,0.02,0.00000
0.0000,0.0000,4.8810,0,inf,0.02,0.00000
0.0000,0.0000,5.0000,0,inf,0.02,0.00000
0.0000,0.0000,5.1190,0,inf,0.02,0.00000
0.0000,0.0000,5.2381,0,inf,0.02,0.00000
0.0000,0.0000,5.3571,0,inf,0.02,0.00000
0.0000,0.0000,5.4762,0,inf,0.02,0.00000
0.0000,0.0000,5.5952,0,inf,0.02,0.00000
0.0000,0.0000,5.7143,0,inf,0.02,0.00000
0.0000,0.0000,5.8333,0,inf,0.02,0.00000
0.0000,0.0200,0.0000,0,inf,0.02,0.00000
0.0000,0.0200,0.1190,0,inf,0.02,0.00000
0.0000,0.0200,0.2381,0,inf,0.02,0.00000
0.0000,0.0200,0.3571,0,inf,0.02,0.00000
0.0000,0.0200,0.4762,0,inf,0.02,0.00000
0.0000,0.0200,0.5952,0,inf,0.02,0.00000
0.0000,0.0200,0.7143,0,inf,0.02,0.00000
0.0000,0.0200,0.8333,0,inf,0.02,0.00000
0.0000,0.0200,0.9524,0,inf,0.02,0.00000
0.0000,0.0200,1.0714,0,inf,0.02,0.00000
0.0000,0.0200,1.1905,0,inf,0.02,0.00000
0.0000,0.0200,1.3095,0,inf,0.02,0.00000
0.0000,0.0200,1.4286,0,inf,0.02,0.00000
0.0000,0.0200,1.5476,0,inf,0.02,0.00000
0.0000,0.0200,1.6667,0,inf,0.02,0.00000
0.0000,0.0200,1.7857,0,inf,0.02,0.00000
0.0000,0.0200,1.9048,0,inf,0.02,0.00000
0.0000,0.0200,2.0238,0,inf,0.02,0.00000
0.0000,0.0200,2.1429,0,inf,0.02,0.00000
0.0000,0.0200,2.2619,0,inf,0.02,0.00000
0.0000,0.0200,2.3810,0,inf,0.02,0.00000
0.0000,0.0200,2.5000,0,inf,0.02,0.00000
0.0000,0.0200,2.6190,0,inf,0.02,0.00000
0.0000,0.0200,2.7381,0,inf,0.02,0.00000
0.0000,0.0200,2.8571,0,inf,0.02,0.00000
