A+B bin center,flip R (clean transition),clean,min recovered-fraction in bin-row
0.058333333333333334,,,0.0
0.075,,,0.0
0.09166666666666667,,,0.0
0.10833333333333334,,,0.0
0.125,,,0.0
0.14166666666666666,,,0.0
0.15833333333333333,2.6041666666666665,True,0.1111111111111111
0.175,,False,0.5135135135135135
0.19166666666666665,,False,0.5454545454545454
0.20833333333333334,,False,0.7560975609756098
0.225,,False,0.7588652482269503
0.24166666666666667,,False,0.84
0.2583333333333333,,False,0.8490566037735849
0.275,,False,0.8596491228070176
0.29166666666666663,,False,0.8666666666666667
0.30833333333333335,,False,0.9047619047619048
0.32499999999999996,,False,0.9402985074626866
0.3416666666666667,,False,0.9428571428571428
0.3583333333333333,,False,0.9452054794520548
0.375,,False,0.948051948051948
0.39166666666666666,,False,0.9545454545454546
0.4083333333333333,,False,0.9493670886075949
0.42500000000000004,,False,0.9540229885057471
0.44166666666666665,,False,0.9636363636363636
0.45833333333333337,,False,0.9518072289156626
0.475,,False,0.9587628865979382
0.4916666666666667,,False,0.96
0.5083333333333333,,False,0.9611650485436893
0.5249999999999999,,False,0.9626168224299065
0.5416666666666667,,False,0.9636363636363636
0.5583333333333333,,False,0.9646017699115044
0.575,,False,0.9658119658119658
0.5916666666666667,,False,0.9666666666666667
0.6083333333333334,,False,0.967479674796748
0.625,,False,0.968503937007874
0.6416666666666666,,False,0.971830985915493
0.6583333333333333,,False,0.968503937007874
0.675,,False,0.9708029197080292
0.6916666666666667,,False,0.9714285714285714
0.7083333333333333,,False,0.972027972027972
0.725,,False,0.9727891156462585
0.7416666666666667,,False,0.9733333333333334
0.7583333333333333,,False,0.9738562091503268
0.7749999999999999,,False,0.9745222929936306
0.7916666666666667,,False,0.9772727272727273
0.8083333333333333,,False,0.9741935483870968
0.825,,False,0.9760479041916168
0.8416666666666667,,False,0.9764705882352941
0.8583333333333334,,False,0.976878612716763
0.875,,False,0.9774011299435028
0.8916666666666666,,False,0.9811320754716981
0.9083333333333333,,False,0.9760479041916168
0.925,,False,0.9786096256684492
0.9416666666666667,,False,0.9789473684210527
0.9583333333333333,,False,0.9792746113989638
0.975,,False,0.9796954314720813
0.9916666666666667,,False,0.9800995024875622
