seed,thresh,frac_ticks_old,frac_ticks_rot,events_old,events_rot,frac_ticks_all,events_all
0,0.5,0.9473776530433258,0.0,0,0,1.0,0
0,0.55,0.9473776530433258,0.0,0,0,1.0,0
0,0.6,0.9473776530433258,0.0,0,0,1.0,0
0,0.65,0.9473776530433258,0.0,0,0,1.0,0
0,0.7,0.9473776530433258,0.0,0,0,1.0,0
0,0.75,0.9473776530433258,0.0,0,0,1.0,0
0,0.8,0.9473776530433258,0.0,0,0,1.0,0
0,0.85,0.9473776530433258,0.0,0,0,1.0,0
0,0.9,0.9472022452201369,0.0,1,0,1.0,0
0,0.95,0.9229959656200667,0.0,39,0,1.0,0
1,0.5,0.9285940971120279,0.0,0,0,1.0,0
1,0.55,0.9285940971120279,0.0,0,0,1.0,0
1,0.6,0.9285940971120279,0.0,0,0,1.0,0
1,0.65,0.9285940971120279,0.0,0,0,1.0,0
1,0.7,0.9285940971120279,0.0,0,0,1.0,0
1,0.75,0.9285940971120279,0.0,0,0,1.0,0
1,0.8,0.9285940971120279,0.0,0,0,1.0,0
1,0.85,0.9285940971120279,0.0,0,0,1.0,0
1,0.9,0.9285940971120279,0.0,0,0,1.0,0
1,0.95,0.9285940971120279,0.0,0,0,1.0,0
